Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;tt;E4:D3:32:A2:A2:F0;;11;No;WPA2,WPA,AES-CCM;No;54.0;0;13;0;0;0;0;0;;;Mon Jul  8 13:58:00 2019;Mon Jul  8 14:01:07 2019;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;CU_9bYS;74:A7:8E:80:4B:3E;;11;No;WPA2,WPA,AES-CCM;No;54.0;0;22;0;0;0;0;0;;;Mon Jul  8 13:58:00 2019;Mon Jul  8 14:01:07 2019;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;TP-LINK_E4EC;CC:08:FB:6B:E4:EC;;11;No;WPA2,AES-CCM;No;54.0;0;9;0;0;0;0;0;;;Mon Jul  8 13:58:28 2019;Mon Jul  8 14:01:00 2019;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;gp22;50:BD:5F:14:A2:F5;;3;No;WPA2,WPA,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Mon Jul  8 13:58:11 2019;Mon Jul  8 14:00:57 2019;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;;70:AF:6A:21:A9:4B;;11;No;WPA,None;No;-1.0;0;0;0;2;0;0;2;;;Mon Jul  8 13:58:00 2019;Mon Jul  8 13:58:00 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;SGM OnStar 9736;F0:AB:54:E9:18:5E;;6;No;WPA2,TKIP;No;54.0;0;1;0;0;0;0;0;;;Mon Jul  8 13:58:01 2019;Mon Jul  8 13:59:52 2019;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;CU_CHNw;88:66:39:92:40:28;;1;No;WPA2,AES-CCM;No;54.0;0;7;0;0;0;0;0;;;Mon Jul  8 13:57:55 2019;Mon Jul  8 14:01:15 2019;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;TP-LINK_301A66;EC:88:8F:30:1A:66;;6;No;WPA2,WPA,AES-CCM;No;54.0;0;10;0;0;0;0;0;;;Mon Jul  8 13:58:08 2019;Mon Jul  8 14:00:54 2019;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;dlink;FC:75:16:99:39:8A;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;5;0;0;0;0;0;;;Mon Jul  8 13:58:08 2019;Mon Jul  8 14:00:34 2019;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;JINGLISHI;38:91:D5:51:8C:20;;6;No;WEP;No;54.0;0;3;0;0;0;0;0;;;Mon Jul  8 13:58:01 2019;Mon Jul  8 13:59:25 2019;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;David-DWQ;20:76:93:21:CD:E8;;13;No;WPA2,AES-CCM;No;54.0;0;11;0;0;0;0;0;;;Mon Jul  8 13:58:09 2019;Mon Jul  8 13:59:54 2019;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;PKUFI-CY;EC:6C:9F:9F:ED:92;;11;No;WPA2,AES-CCM;No;54.0;0;7;0;1;0;0;1;;;Mon Jul  8 13:58:14 2019;Mon Jul  8 14:00:53 2019;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;e101;74:C3:30:76:4C:D2;;13;No;WPA2,AES-CCM;No;54.0;0;27;0;1;0;0;1;;;Mon Jul  8 13:58:09 2019;Mon Jul  8 14:01:02 2019;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;qipaishi;C0:A5:DD:33:58:D1;;12;No;WPA2,AES-CCM;No;54.0;0;1;0;1;0;0;1;;;Mon Jul  8 13:58:36 2019;Mon Jul  8 14:00:20 2019;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;TP-LINK_F718;C0:61:18:B0:F7:18;;11;No;WPA2,WPA,AES-CCM;No;54.0;0;20;0;0;0;0;0;;;Mon Jul  8 13:58:00 2019;Mon Jul  8 13:59:52 2019;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;bgs;E4:D3:32:E7:E0:D7;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;10;0;0;0;0;0;;;Mon Jul  8 13:57:55 2019;Mon Jul  8 14:00:00 2019;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;wuliqun;F4:28:53:7A:0F:C6;;9;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Mon Jul  8 13:58:47 2019;Mon Jul  8 13:59:29 2019;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;;4C:D1:A1:EC:AA:6D;;1;No;WPA2,AES-CCM;No;54.0;0;20;0;0;0;0;0;;;Mon Jul  8 13:57:55 2019;Mon Jul  8 14:01:08 2019;-67;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;Danke404;04:40:A9:2E:F1:1E;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;9;0;0;0;0;0;;;Mon Jul  8 13:58:09 2019;Mon Jul  8 14:01:15 2019;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;dandan15888;34:CE:00:40:A7:F6;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;10;0;0;0;0;0;;;Mon Jul  8 13:57:55 2019;Mon Jul  8 13:59:33 2019;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;chenwy;4C:D1:A1:EC:AA:6C;;1;No;WPA2,AES-CCM;No;54.0;0;19;0;4;0;0;4;;;Mon Jul  8 13:57:55 2019;Mon Jul  8 14:01:08 2019;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;CU_3eYR;D4:9E:05:20:0F:1F;;9;No;WPA2,AES-CCM;No;54.0;0;16;0;0;0;0;0;;;Mon Jul  8 13:57:58 2019;Mon Jul  8 14:01:11 2019;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;;4C:D1:A1:EC:AA:71;;1;No;WPA2,AES-CCM;No;54.0;0;18;0;0;0;0;0;;;Mon Jul  8 13:58:22 2019;Mon Jul  8 14:01:15 2019;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;zy;C8:3A:35:C9:81:D8;;10;No;WPA2,AES-CCM;No;54.0;0;23;0;10;0;0;10;;;Mon Jul  8 13:57:59 2019;Mon Jul  8 14:01:06 2019;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
25;infrastructure;888;30:B4:9E:10:3F:94;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;7;0;0;0;0;0;;;Mon Jul  8 13:57:55 2019;Mon Jul  8 13:58:57 2019;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
26;infrastructure;TP-LINK_367C;80:89:17:9B:36:7C;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;19;0;0;0;0;0;;;Mon Jul  8 13:57:55 2019;Mon Jul  8 14:01:01 2019;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
27;infrastructure;PKUFI-CY;EC:6C:9F:9F:ED:79;;6;No;WPA2,AES-CCM;No;54.0;0;8;0;0;0;0;0;;;Mon Jul  8 13:58:36 2019;Mon Jul  8 13:59:52 2019;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
28;infrastructure;ç§.æ..1;BC:54:FC:7F:5D:AB;;13;No;WPA2,AES-CCM;No;54.0;0;3;0;5;0;0;5;;;Mon Jul  8 13:58:16 2019;Mon Jul  8 14:01:02 2019;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
29;infrastructure;TP-LINK_D140;78:44:FD:5B:D1:40;;11;No;WPA2,WPA,AES-CCM;No;54.0;0;24;0;0;0;0;0;;;Mon Jul  8 13:58:14 2019;Mon Jul  8 14:00:53 2019;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
30;infrastructure;603;34:CE:00:35:F6:C8;;4;No;WPA2,AES-CCM,TKIP;No;54.0;0;26;0;17;0;0;17;;;Mon Jul  8 13:58:12 2019;Mon Jul  8 14:01:05 2019;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
31;infrastructure;HiWiFi_2EF8AC;D4:EE:07:2E:F8:AC;;7;No;WPA2,AES-CCM;No;54.0;0;29;0;0;0;0;0;;;Mon Jul  8 13:58:02 2019;Mon Jul  8 14:01:08 2019;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
32;infrastructure;scxt;40:31:3C:0D:58:C5;;5;No;WPA2,AES-CCM,TKIP;No;54.0;0;7;0;15;0;0;15;;;Mon Jul  8 13:58:28 2019;Mon Jul  8 13:59:51 2019;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
33;infrastructure;GX-360;C4:36:55:43:70:9B;;4;No;WPA2,AES-CCM;No;54.0;0;19;0;2;0;0;2;;;Mon Jul  8 13:58:12 2019;Mon Jul  8 14:00:38 2019;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
34;infrastructure;lyb;50:BD:5F:AE:A7:A2;;6;No;WPA2,WPA,AES-CCM;No;54.0;0;28;0;0;0;0;0;;;Mon Jul  8 13:58:14 2019;Mon Jul  8 14:01:14 2019;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
35;infrastructure;360WiFi-3B1275;A4:56:02:3B:12:75;;9;No;WPA2,AES-CCM;No;54.0;0;36;0;10;0;0;10;;;Mon Jul  8 13:57:58 2019;Mon Jul  8 14:01:11 2019;-67;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
36;infrastructure;CU_AmGA;9C:32:A9:73:03:31;;11;No;WPA2,AES-CCM;No;54.0;0;22;0;0;0;0;0;;;Mon Jul  8 13:58:00 2019;Mon Jul  8 14:00:46 2019;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
37;infrastructure;0000;FC:D7:33:CA:11:6C;;6;No;WPA2,WPA,AES-CCM;No;54.0;0;12;0;0;0;0;0;;;Mon Jul  8 13:58:21 2019;Mon Jul  8 14:00:54 2019;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
38;infrastructure;360æ.©æ.¦ä¸.ç½.-3b1278;A4:56:02:3B:12:78;;9;No;OPN,None;No;54.0;0;33;0;9;0;0;9;;;Mon Jul  8 13:57:58 2019;Mon Jul  8 14:01:12 2019;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;192.168.0.1;
39;infrastructure;TP-LINK_702;D0:76:E7:50:13:54;;11;No;WPA2,AES-CCM;No;54.0;0;37;0;1;0;0;1;;;Mon Jul  8 13:58:00 2019;Mon Jul  8 14:01:14 2019;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
40;infrastructure;SungoaStudios;B8:08:D7:71:D4:A8;;11;No;WPA2,AES-CCM;No;54.0;0;35;0;1;0;0;1;;;Mon Jul  8 13:57:59 2019;Mon Jul  8 14:01:00 2019;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
41;infrastructure;wdm;BC:54:FC:01:75:FC;;10;No;WPA2,AES-CCM;No;54.0;0;25;0;2;0;0;2;;;Mon Jul  8 13:57:59 2019;Mon Jul  8 14:01:12 2019;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
42;infrastructure;mmii;88:25:93:30:CA:94;;6;No;WPA2,WPA,AES-CCM;No;54.0;0;17;0;0;0;0;0;;;Mon Jul  8 13:58:01 2019;Mon Jul  8 14:00:54 2019;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
43;infrastructure;TP-LINK_YYYYYYY;78:44:FD:B2:E2:EB;;11;No;WPA2,AES-CCM;No;54.0;0;40;0;1;0;0;1;;;Mon Jul  8 13:58:00 2019;Mon Jul  8 14:01:13 2019;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
44;infrastructure;yjt;CC:08:FB:12:0F:EE;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;22;0;2;0;0;2;;;Mon Jul  8 13:57:55 2019;Mon Jul  8 14:01:15 2019;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
45;infrastructure;ziroom1202;D0:76:E7:14:E8:08;;1;No;WPA2,AES-CCM;No;54.0;0;39;0;0;0;0;0;;;Mon Jul  8 13:57:55 2019;Mon Jul  8 14:01:08 2019;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
46;infrastructure;TP-LINK_8786;24:69:68:62:87:86;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;35;0;2;0;0;2;;;Mon Jul  8 13:58:08 2019;Mon Jul  8 14:01:15 2019;-67;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
47;infrastructure;CU_DXJP;9C:32:A9:73:10:91;;1;No;WPA2,AES-CCM;No;54.0;0;23;0;0;0;0;0;;;Mon Jul  8 13:57:55 2019;Mon Jul  8 14:01:15 2019;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
48;infrastructure;TP-LINK_DCC28E;BC:D1:77:DC:C2:8E;;1;No;WPA2,WPA,AES-CCM;No;22.0;0;18;0;0;0;0;0;;;Mon Jul  8 13:57:55 2019;Mon Jul  8 14:01:08 2019;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
49;infrastructure;å..å¤.ä¸½å.­903;B8:F8:83:E2:A8:71;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;43;0;0;0;0;0;;;Mon Jul  8 13:57:55 2019;Mon Jul  8 14:01:15 2019;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
50;infrastructure;å±±æ°´å··2.4G;78:44:FD:1B:0A:14;;6;No;WPA2,AES-CCM,TKIP;No;54.0;0;30;0;368;0;0;368;;;Mon Jul  8 13:57:55 2019;Mon Jul  8 14:01:14 2019;-66;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
51;infrastructure;å±±æ°´å··2.4G3;34:96:72:27:1C:9C;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;43;0;3;0;0;3;;;Mon Jul  8 13:57:55 2019;Mon Jul  8 14:01:15 2019;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
52;infrastructure;å±±æ°´å··2.4G;78:44:FD:DD:04:5A;;11;No;WPA2,AES-CCM,TKIP;No;54.0;0;42;0;76;0;0;76;;;Mon Jul  8 13:58:00 2019;Mon Jul  8 14:01:14 2019;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
53;infrastructure;å±±æ°´å··2.4G;78:44:FD:1B:0D:84;;11;No;WPA2,AES-CCM,TKIP;No;54.0;0;49;0;202;0;0;202;;;Mon Jul  8 13:58:07 2019;Mon Jul  8 14:01:13 2019;-54;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
54;infrastructure;å±±æ°´å··2.4G4;34:96:72:26:47:BC;;6;No;WPA2,WPA,AES-CCM;No;54.0;0;47;0;79;0;0;79;;;Mon Jul  8 13:58:01 2019;Mon Jul  8 14:01:14 2019;-59;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
55;infrastructure;É½Ë®Ïï2.4G2;28:2C:B2:B5:48:DA;;11;No;WPA2,WPA,AES-CCM;No;54.0;0;62;0;0;0;0;0;;;Mon Jul  8 13:58:00 2019;Mon Jul  8 14:01:13 2019;-45;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
56;infrastructure;sfddwrt;44:48:C1:1A:16:90;;1;No;WPA,TKIP;No;54.0;0;75;0;0;0;0;0;;;Mon Jul  8 13:57:55 2019;Mon Jul  8 14:01:17 2019;-32;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
57;infrastructure;TP-LINK_E2BBFA;5C:63:BF:E2:BB:FA;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;54;0;8;0;0;8;;;Mon Jul  8 13:57:57 2019;Mon Jul  8 14:01:18 2019;-34;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
58;infrastructure;å±±æ°´å··2.4G1;FC:D7:33:E7:1B:78;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;54;0;29;0;0;29;;;Mon Jul  8 13:57:55 2019;Mon Jul  8 14:01:15 2019;-35;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
59;infrastructure;DIRECT-70-HP M130 LaserJet;FE:01:7C:78:D1:70;;6;No;WPA2,AES-CCM;No;54.0;0;48;0;0;0;0;0;;;Mon Jul  8 13:58:01 2019;Mon Jul  8 14:01:14 2019;-25;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
60;infrastructure;;58:EF:68:C0:E4:D5;;4;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Jul  8 13:58:41 2019;Mon Jul  8 13:58:41 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
61;infrastructure;CU_CGAt;64:13:6C:B0:1C:6D;;5;No;WPA2,AES-CCM;No;54.0;0;4;0;0;0;0;0;;;Mon Jul  8 13:58:49 2019;Mon Jul  8 13:59:51 2019;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
62;infrastructure;905;00:5A:13:50:DC:40;;1;No;WPA2,AES-CCM;No;54.0;0;8;0;0;0;0;0;;;Mon Jul  8 13:58:50 2019;Mon Jul  8 14:00:55 2019;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
63;infrastructure;;A4:9B:4F:1E:78:30;;11;No;WPA,None;No;-1.0;0;0;0;1;0;0;1;;;Mon Jul  8 13:58:56 2019;Mon Jul  8 13:58:56 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
64;infrastructure;ziroom1001;78:44:FD:E3:7E:E7;;11;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Mon Jul  8 13:58:56 2019;Mon Jul  8 13:59:45 2019;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
65;infrastructure;;DC:71:37:2E:AA:07;;9;No;WPA,None;No;-1.0;0;0;0;1;0;0;1;;;Mon Jul  8 13:59:08 2019;Mon Jul  8 14:00:38 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
66;infrastructure;MERCURY_58F2;BC:54:FC:2F:58:F2;;11;No;WPA2,AES-CCM;No;54.0;0;5;0;0;0;0;0;;;Mon Jul  8 13:59:10 2019;Mon Jul  8 14:00:46 2019;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
67;infrastructure;TP-LINK_5419;30:FC:68:C5:54:19;;11;No;WPA2,WPA,AES-CCM;No;54.0;0;7;0;1;0;0;1;;;Mon Jul  8 13:59:10 2019;Mon Jul  8 14:01:07 2019;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
68;infrastructure;LL;C8:3A:35:52:FC:18;;3;No;WPA2,WPA,AES-CCM;No;54.0;0;0;0;0;0;0;0;;;Mon Jul  8 13:59:15 2019;Mon Jul  8 14:00:23 2019;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
69;infrastructure;;B0:95:8E:8E:86:A7;;2;No;WPA,None;No;-1.0;0;0;0;266;0;0;266;;;Mon Jul  8 13:59:27 2019;Mon Jul  8 13:59:55 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
